Neoforma.Com
Healthgate Data
Extensity
T and R Systems
Aspect Medical Systems
Natco
Packaging Of America
Caminus
Interwave Communications
Quantum Effect Devices
Sequenom
Turnstone Systems
Centra Software
Antigenics
Avanex
Dobson Communications
Mediacom Communications
Therma-Wave
Emerge Interactive
Eon Communications
Firepond
Worldquest Networks
Buy.Com
Fastnet
Landacorp
Vicinity
Cypress Communications
Organic
Witness Systems
Fargo Electronics
Lante
Lightspan Partnership
Webmethods
Beasley Broadcast
Savvis Communications
Chordiant Software
Jeremy'S Microbatch Ice Creams
Lendingtree
Vantagemed
Varsitybooks.Com
Eloquent
Apropos Tech
Inforte
Nextel Partners
Digitalthink
Intersil
Niku
Matrixone
Net.Genesis
Onvia.Com
Prime Response
Register.Com
Switchboard
Utstarcom
Versata
Net2000 Communications
Iprint.Com
Homegrocer.Com
Orapharma
Selectica
Otg Software
Digitas
Improvenet
Loudeye Technologies
Universal Access
Uproar
Aclara Biosciences
Blaze Software
Partsbase.Com
Silicon Laboratories
Viasystems
Eprise
Intermune Pharmaceuticals
Allos Therapeutics
Artistdirect
Moldflow
Websense
Telocity Delaware
Arrowpoint Communications
Luminex
Valueclick
Cabot Microelectronics
Krispy Kreme Doughnuts
Oratec Interventions
Ulticom
Vyyo
Goamerica
I3 Mobile
Liveperson
Saba Software
Sangamo Biosciences
Tanox
Numerical Technologies
Exelixis
Healthstream
Corillian
Nuance Communications
Embarcadero Technologies
Packard Bioscience Co
Pec Solutions
Rockford
Metawave Communications
Praecis Pharmaceuticals
Stratus Services
On Semiconductor
Sonic Innovations
Genomic Solutions
Sequoia Software
Ibeam Broadcasting
New Focus
Us Unwired
Nogatech
Pixelworks
Coolsavings.Com
Integrated Circuit Systems
Centillium Communications
Universal Compression Holdings
Sonus Networks
Oni Systems
Crossworlds Software
Exult
Ubiquitel
Community Health Systems
Intuitive Surgical
August Technology
Echapman
Dendreon
Handspring
Cepheid
Clicksoftware Ltd
Charles River Laboratories
Qualstar
Click Commerce
Efunds
Marvell Technology Ltd
Stratos Lightwave
Genuity
Accord Networks Ltd
Capstone Turbine
Carescience
Virage
Storagenetworks
Axcelis Technologies(Eaton)
Entegris
Sunrise Telecom
Triton Network Systems
I-Many
Network Engines
Pain Therapeutics
Omnivision Technologies
Support.Com
Transgenomic
Airspan Networks
Argonaut Technologies
Vascular Solutions
Corio
Talarian
Variagenics
Blue Martini Software
Interland
Applied Molecular Evolution
Mainspring
Rita Medical Systems
Discovery Partners
Genencor International
Illumina
Lexent
Valicert
Webex Communications
Arena Pharmaceuticals
Convergent
Virage Logic
Genaissance Pharmaceuticals
Opnet Technologies
Speechworks International
Deltagen
Entravision Commun
Eroomsystem Technologies
Iasia Works
Resonate
Signalsoft
3-Dimensional Pharmaceuticals
Innovative Solns and Support
Inspire Pharmaceuticals
Rosetta Inpharmatics
Exe Technologies
Lantronix
Microtune
Active Power
Advanced Power Technology
Medicines Co
Pemstar
Chippac
Repeater Technologies
Telecommunication Systems
Atherogenics
Esperion Therapeutics
Evolve Software
H Power
Mcdata
Millennium Cell
Pharsight
Tvia
Equinix
Large Scale Biology
Vina Technologies
